# Auto-generated by generate_port_tracking.py
# Format: Kind | SourcePath | MappedPath | Status | Notes
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLLobbyMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLLocaleSelectPopup.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLLoginMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLMapSelectMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLMessageWindow.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLQMScoreScreen.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLStatusMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/Menus/WOLWelcomeMenu.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/MessageBox.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GUICallbacks/ReplayControls.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetCheckBox.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetComboBox.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetHorizontalSlider.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetListBox.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetProgressBar.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetPushButton.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetRadioButton.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetStaticText.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetTabControl.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetTextEntry.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Gadget/GadgetVerticalSlider.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GameFont.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GameWindow.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GameWindowGlobal.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GameWindowManager.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GameWindowManagerScript.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GameWindowTransitions.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/GameWindowTransitionsStyles.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/HeaderTemplate.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/IMEManager.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/LoadScreen.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/ProcessAnimateWindow.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/Shell/Shell.cpp | GameClient/src/gui/shell/shell.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/GUI/Shell/ShellMenuScheme.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/WinInstanceData.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/WindowLayout.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GUI/WindowVideoManager.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GameClient.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GameClientDispatch.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GameText.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GlobalLanguage.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/GraphDraw.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/InGameUI.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/Input/Keyboard.cpp | GameClient/src/input/keyboard.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/Input/Mouse.cpp | GameClient/src/input/mouse.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/LanguageFilter.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/Line2D.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/MapUtil.cpp | - | MISSING | subsystem=GameClient
